Text,Label
บริการไม่ค่อยดี,  B-ServiceNeg
ห้องเสียงดัง,  B-RoomNeg
ห้องพักสตูราคา,  O
1200,  O
กว่าบาทอ่านจากรีวิวว่ามีของให้ครบแต่พอตอนไป,  O
ไม่มีแม้แต่กาน้ำร้อน,  O
ผ้าห่มและเตียงมีเศษผมของแขกคนเก่าติดอยู่หลายเส้น,  O
และผ้าดูสีหมองไปหมดแล้ว,  O
แม่บ้านเสียงดังมาก,  B-ServiceNeg
ทั้งเข็นรถ,  I-ServiceNeg
เสียงคุย,  I-ServiceNeg
เปิดเพลงเสียงดัง,  I-ServiceNeg
จนตื่น,  I-ServiceNeg
ไม่โอเคเลย,  I-ServiceNeg
ไม่คุ้มค่าเงินที่เสียไป,  B-ValueNeg
ที่พักดีสมราคา,  B-CleanPos
สะอาด,  I-CleanPos
น่าพัก,  I-CleanPos
พนักงานพูดจาดี,  B-ServicePos
ทำเลอาจจะไม่ค่อยดี,  B-LocationNeg
ไม่ได้ติดทะเล,  I-LocationNeg
แต่ขัดไปหาด,  I-LocationNeg
ไปบางแสนก็ไม่ไกล,  I-LocationNeg
ติดใจค่ะ,  B-VariousPos
ถ้าเที่ยวแถวนี้ก็อยากพักที่นี่อีก,  I-VariousPos
มีห้องพักให้เลือกหลายหลายมากค่ะ,  I-VariousPos
แนะนำเลย,  B-RecommendPos
โรงแรมสะอาด,  B-CleanPos
บ้านพัก,  B-RoomNeu
ค่อนข้างเล็ก,  I-RoomNeu
ติดหาดติดเซเว่น,  O
สะดวก,  B-FacilitiesPos
สระว่ายน้ำดีมากๆ,  B-FacilitiesPos
สนุก,  I-FacilitiesPos
ชอบ,  I-FacilitiesPos
อาหารเช้า,  O
ต้องจ่ายเพิ่ม,  O
ข้างหน้า,  O
เพราะให้โควต้าแค่2คน,  O
กาแฟอร่อยดีมาก,  O
อาหารทั่วไป,  B-FoodNeu
โรงแรมกว้างมาก,  O
พนักงานรถบริการดี,  B-ServicePos
ไว้จะไปพักอีก,  O
ผ่านเลย,  O
พักโรงแรมนี้2ครั้งแล้วค่ะติดใจและลูกๆก็ชอบมาก,  O
ชายหาดแค่ข้ามถนนจากหน้าโรงแรมก็ถึง,  B-LocationPos
หากหิวเวลาใด,  I-LocationPos
ข้างๆโรงแรมก็มีเซเว่น,  I-LocationPos
ทั้งยังมีคาเฟ่ข้างๆโรงแรมคอยให้บริการ,  I-LocationPos
สะดวกมากๆสำหรับลูกเล็กๆอย่างฉัน,  O
ทำเลดีมาก,  B-LocationPos
ไปพักหลายครั้งตั้งแต่ก่อนโควิด,  O
หลังโควิดเพิ่งได้ไปครั้งแรก,  O
-ห้องมีการรีโนเวทใหม่,  B-RoomPos
สวยงาม,  I-RoomPos
ดูทันสมัย,  I-RoomPos
-พนักงานฝ่ายจองห้องคือดีเยี่ยม,  B-ServicePos
ขอไปได้หมด,  I-ServicePos
-อาหารเช้าอร่อยเหมือนเดิม,  B-FoodPos
แต่อยากให้ช่วยดูแลเรื่องการป้องกันโควิดอีกนิด,  O
ลูกค้าบางคนไม่ใสแมสก์ไม่ใส่ถุงมือเวลาตักอาหาร,  O
-อยากให้ระบุที่นั่งโซนสูบบุหรี่ด้วย,  O
-พื้นห้องน้ำเป็นกระเบื้องที่โดนน้ำแล้วลื่นมาก,  B-ValueNeg
น้ำฝักบัวเปิดแล้วมีกลิ่นท่อเหม็นๆ,  I-ValueNeg
ผ้าเช็ดตัวและผ้าเช็ดเท้าสีหม่นมาก,  I-ValueNeg
ดูไม่สะอาด,  I-ValueNeg
ไม่เหมาะสมกับราคาและดาวของโรงแรม,  I-ValueNeg
-แต่ห้องไม่เก็บเสียง,  B-RoomNeg
ได้ยินเสียงคนเดินหน้าห้องและจากระเบียงห้องข้างๆ,  I-RoomNeg
-อยากให้มีผ้าเช็ดเท้าในห้อง2ผืน,  B-FacilitiesNeu
ผืนนึงในห้องอาบน้ำ,  I-FacilitiesNeu
อีกผืนตรงอ่างล้างหน้า,  I-FacilitiesNeu
-เสียดายที่ขออัพเกรดห้องแต่พนักงานที่ฟร้อนท์แจ้งว่าเต็ม,  O
ทั้งๆที่ในอโกด้ามีว่าง,  O
เลยไม่กล้าอัพเกรด,  O
-ถ้าไปพักบางแสนอีก,  B-PricePos
ก็ยังจะเลือกที่นี่,  I-PricePos
เพราะราคาไม่แพง,  I-PricePos
และคุ้มที่สุดค่ะ,  B-ValuePos
ที่พักติดชายทะเลใกล้กรุงเทพ,  B-LocationPos
ครอบครัวชอบที่นี้มากๆมาพักทุกปี,  O
เด็กๆจะรีเควสที่นี่ตลอด,  O
ห้องพักดีมากๆ,  B-RoomPos
อาหารเช้าอร่อยและหลากหลาย,  B-FoodPos
ใกล้ทะเล,  B-LocationPos
พนักงานบริการสุภาพและใส่ใจ,  B-ServicePos
จะมาพักอีกแน่นอนค่ะ,  I-ServicePos
แนะนำ,  B-RecommendPos
และเหมาะกับครอบครัว,  I-RecommendPos
สถานที่ทำเลดี,  B-LocationPos
ติดทะเล,  I-LocationPos
ห้องสวยสมราคา,  B-QualityPos
ห้องพักสวยงามมากๆ,  B-RoomPos
โรงแรมมีมุมถ่ายรูปเยอะแยะเลย,  O
อาหารเช้ามีหลากหลาย,  B-VariousPos
พนักงานคอยเติมตลอด,  I-VariousPos
พนักงานบริการดีมากๆ,  B-ServicePos
สถานที่ท่องเที่ยวแถวโรงแรมอาจจะไม่เยอะมาก,  O
แต่ไม่วุ่นวายดี,  O
จากโรงแรมไปหาดบางแสนก็ไม่ไกลมาก,  O
เหมาะสำหรับทั้งคู่รักและครอบครัว,  O
โรงแรมยังใหม่อยู่เลย,  B-ValuePos
คุ้มกับราคาที่จ่ายไปมากๆค่ะ,  I-ValuePos
ทำเลดี,  B-LocationPos
คุ้มค่าที่จ่าย,  B-ValuePos
ห้องสวีท,  I-ValuePos
ที่พักคุ้มค่า,  B-ValuePos
และสะอาด,  B-CleanPos
การเดินทางสะดวก,  O
วิวสวยงาม,  B-GoodView
ใกล้แหล่งช๊อปปิ้ง,  O
ที่จอดรถสะดวก,  B-FacilitiesPos
ขนาดห้องพักกำลังดี-ไม่อึดอัด,  B-RoomNeu
คุ้มค่า,  B-ValuePos
สะอาด,  B-CleanPos
พนักงานบริการดี,  B-ServicePos
มีสิ่งอำนวยความสะดวกครบครัน,  B-FacilitiesPos
ดีสะดวกมาก,  B-ConveniencePos
ชอบวิวดี,  B-GoodView
ชั้นเปิด,  I-GoodView
ถึงแค่,  I-GoodView
16,  I-GoodView
น้องพนักงานก็จัดให้,  I-GoodView
สูงสุด,  I-GoodView
วิวดี,  I-GoodView
สวย,  I-GoodView
ห้องดี,  B-RoomPos
ชอบถูกใจ,  I-RoomPos
แต่อาหารเช้าที่คนชมเยอะๆ,  B-FoodNeu
เราเฉยๆ,  I-FoodNeu
ไม่ว้าว,  I-FoodNeu
โดยรวมผ่านมาก,  I-FoodNeu
ค่ะ,  I-FoodNeu
แนะนำเลย,  B-RecommendPos
แต่ไม่ควรเข้าพักช่วงหยุดยาว,  I-RecommendPos
โรงแรมดีห้องสวย,  B-RoomPos
ติดถนนใหญ่,  B-LocationPos
เดินทางสะดวก,  I-LocationPos
เป็นโรงแรมที่ดี,  B-RoomPos
ห้องสวย,  I-RoomPos
สะอาด,  B-CleanPos
ล้อบบี้กว้างสวยงามมาก,  O
แต่พนักงานต้อนรับหน้าตาไม่ยิ้มแย้ม,  B-ServiceNeg
พูดแบบไม่มีเซอร์วิส,  I-ServiceNeg
เคยอ่านในรีวิวก็เป็นตามที่ท่านอื่นๆรีวิวมาแต่ในส่วนอื่นๆของโรงแรมให้10,  I-ServiceNeg
ที่พักดี,  B-SafetyPos
สะอาด,  I-SafetyPos
ปลอดภัย,  I-SafetyPos
มีที่นั่งสบาย,  I-SafetyPos
ได้วิวทะเลมองเพลินเลยแต่เช้า,  B-GoodView
ห้องดีหลับสบาย,  B-RoomPos
อาหารเช้าดี,  B-VariousPos
มีให้เลืกมากมายพนักงานบริการดีครับ,  I-VariousPos
กาแฟอร่อย,  O
ที่ชั้น5สระว่ายน้ำวิวดีครับ,  O
ราคาที่พักไม่แพงถ้าเทียบกับในตัวริมหาดศรีราชา,  B-PricePos
สะดวกสบายมากประทับใจ,  B-ImpressedPos
มีโอกาศจะมาพักใหม่,  I-ImpressedPos
โรงแรมวิวสวย,  B-GoodView
พนักงานบริการดี,  B-ServicePos
อาหารเช้าน้อยไป,  B-FoodNeg
คาดหวังอาหารเช้าไว้เยอะ,  I-FoodNeg
สระว่ายน้ำดีมากวิวสวย,  B-GoodView
ไม่ซ้ำ,  I-GoodView
โดยรวมดี,  B-CleanPos
ห้องพักสะอาด,  I-CleanPos
พนักงานบริการดี,  B-ServicePos
เดินทางสะดวก,  O
เตียงนิ่มมากนอนสบาย,  B-ConveniencePos
วิวสวย,  B-GoodView
คุ้มราคาห้องกว้าง,  B-ValuePos
สถานที่ดี,  O
สระสวย,  O
อาหารน้อยไปนิดนึงค่ะ,  B-FoodNeu
แต่โดนรวมดีค่ะ,  I-FoodNeu
ดีคะ,  B-ValuePos
คุ้มค่ากับราคา,  I-ValuePos
ที่พักติดชายหาดเลยคะ,  B-GoodView
บรรยากาศร่มรื่นส่วนตัวดีคะ,  I-GoodView
ดูแล้วไม่ค่อยสะอาด,  B-CleanNeg
เครื่องทำน้ำอุ่นในห้องก๋เหมือนใกล้เสีย,  B-FacilitiesNeu
สระว่ายน้ำ,  B-FacilitiesNeg
แย่มาก,  I-FacilitiesNeg
ไม่สะอาดเอาสะเลย,  I-FacilitiesNeg
พื้นผิว,  I-FacilitiesNeg
บนสระว่ายน้ำ,  I-FacilitiesNeg
ลื่นมาก,  I-FacilitiesNeg
หลายคนเดินลื่นหัวเกือบฝาดพื้นกัน,  I-FacilitiesNeg
พนักงานบริการค่อนข้างดี,  B-ServicePos
.,  I-ServicePos
ผ้าห่มมีกลิ่น,  B-ValueNeg
อาหารเช้าน้อยมาก,  I-ValueNeg
ไม่คุ้ม,  I-ValueNeg
ไม่เหมาะสมกับราคา,  I-ValueNeg
ห้องสะอาด,  B-CleanPos
ผ้าห่มเก่าขาดเหลืองอับ,  B-FacilitiesNeg
เตียงแข็ง,  I-FacilitiesNeg
หมอนแข็งเก่าเหลืองคอเคล็ด,  I-FacilitiesNeg
ห้องน้ำมีคราบสกปรก,  I-FacilitiesNeg
ผ้าม่านห้องน้ำเก่าเป็นรา,  I-FacilitiesNeg
รองเท้าใส่ในห้องดำ,  I-FacilitiesNeg
ผ้าเช็ดตัวเก่า,  I-FacilitiesNeg
อับ,  I-FacilitiesNeg
704,  I-FacilitiesNeg
แอร์สกปรกมากสไลเดอร์เสียตลอดสระว่ายน้ำPages,  O
สกปรกมากสไลเดอร์เสียตลอดสระว่ายน้ำลงไหว้แล้วคันไม่สะอาด,  B-CleanNeg
ปล่อยให้แขกดูบุหรีในห้อง,  B-ConvenienceNeg
รบกวนห้องข้าง,  I-ConvenienceNeg
ๆ,  I-ConvenienceNeg
ไม่เป็นไปตามคาด,  B-ValueNeg
ไม่คุ้มราคา,  I-ValueNeg
ห้องไม่ตรงปก,  I-ValueNeg
ห้อวพักเหม็นอับมาก,  B-RoomNeg
แอร์ก็เหม็นอับมาก,  B-ValueNeg
ไม่คุ้มค่ากับราคาที่จ่าย,  I-ValueNeg
ห้องไม่ตรงตามรูป,  I-ValueNeg
ผิดหวังมาก,  I-ValueNeg
ไม่กลับไปพักอีกแน่นอน,  I-ValueNeg
ไม่โอเคหลายอย่างมากๆ,  B-QualityNeg
ชัดเจนสุดคือผ้าเช็ดหน้า,  I-QualityNeg
ผ้าเช็ดตัวสู้ชีวิตมาก,  I-QualityNeg
เก่ามาก,  I-QualityNeg
ห้องราคา,  I-QualityNeg
2500฿,  I-QualityNeg
ได้ผ้าแบบนี้หรอ,  I-QualityNeg
?,  O
?,  O
?,  O
ห่วยมาก,  B-QualityNeg
อย่าเข้าพัก,  I-QualityNeg
3,  I-QualityNeg
พันบาท,  I-QualityNeg
/,  I-QualityNeg
คืน,  I-QualityNeg
กับห้องที่ไม่มีแม้แต่แชมพูขวดเล็กให้,  I-QualityNeg
ทุเรศมาก,  I-QualityNeg
พนักงานทำงานช้ามาก,  B-ServiceNeg
ไม่ประทับใจบริการอย่างมาก,  B-ImpressedNeg
เข้าเชคอิน,  B-ServiceNeg
เวลาช่วงค่ำ,  I-ServiceNeg
เจอพนักงานเคาท์เตอร์พูดจาไม่ดี,  I-ServiceNeg
ทำหน้าบึ้งตึง,  I-ServiceNeg
ไม่มีเบลบอยบริการ,  I-ServiceNeg
First,  I-ServiceNeg
impression,  I-ServiceNeg
แย่ไปเลย,  I-ServiceNeg
ห้องน้ำมีกลิ่นเหม็น,  B-CleanNeg
ทางเดินหน้าห้องไม่สะอาด,  I-CleanNeg
มีแต่ข้อเสียที่โดดเด่นระเบียงห้องมีแต่ฝุ่น,  B-CleanNeg
ขึ้จิ้งจก,  I-CleanNeg
และราวตากผ้าที่ชำรุด,  I-CleanNeg
ไม่สะอาด,  B-CleanNeg
เดินไกลมาก,  O
ดีอย่างเดียวก็คือติดริมถนน,  B-LocationPos
ความปลอดภัย,  B-SafetyPos
เสียความรู้สึกมากค่ะ,  B-PriceNeg
ที่จองไปเพราะว่าจะพาลูกไปเล่นสระว่ายน้ำแต่กลับปรับปรุง,  I-PriceNeg
เล่นไม่ได้,  I-PriceNeg
ราคาก็ยังสูง,  I-PriceNeg
สระก็เล่นไม่ได้,  O
ควรจะมีสรรพนามให้ลูกค้าเพื่อตอบแทน,  O
ใครอย่าหลงไปนะ,  B-CleanNeg
วิลล่าที่พัก,  I-CleanNeg
สกปรกและเหม็นมาก,  I-CleanNeg
เลยพักแค่คืนเดียว,  I-CleanNeg
เป็นที่พัก,  B-ImpressedNeg
ที่ไม่น่าพักเลย,  I-ImpressedNeg
ยุงเยอะ,  I-ImpressedNeg
ไม่สะอาด,  I-ImpressedNeg
ไม่ประทับใจเลย,  I-ImpressedNeg
และไม่คิดจะกลับไปอีกแล้ว,  I-ImpressedNeg
ไม่คุ้มค่า,  B-ValueNeg
ห้องเล็ก,  I-ValueNeg
เก่า,  I-ValueNeg
ครีมนวดไม่มี,  I-ValueNeg
กลิ่นห้องพักเหม็นอับมาก,  B-RoomNeu
เหมือนไม่ค่อยได้ทำความสะอาด,  I-RoomNeu
เตียงแข็งมาก,  O
ไม่มีการบริการการปรับเปลี่ยนที่ดี,  O
ไม่ได้ดีอย่างที่คิด,  B-CleanNeg
เหมือนมานอนรีสอร์ตธรรมดาในป่า,  I-CleanNeg
น้ำที่ใช้อาบดำ,  I-CleanNeg
ในห้องมีแมลง,  I-CleanNeg
และฝุ่นไม่ค่อยสะอาด,  I-CleanNeg
โซนที่พักไกลจากสระน้ำ,  O
พนักงานบอกทางผิด,  O
เดินหาห้องเป็นกิโล,  O
ต้องอุ้มเด็กด้วย,  O
รถกอร์ฟมีน้อย,  O
รอเป็นชม,  O
แอร์ไม่เย็น,  O
น้ำดื่มไม่พอ,  O
อาหารเช้าธรรมดา,  B-FoodNeu
เหมือนโรงอาหาร,  I-FoodNeu
เดินชนกัน,  I-FoodNeu
รีบเก็บโต๊ะมาก,  I-FoodNeu
กินไม่เสร็จกลับมาโต๊ะเป็นของคนอื่นไปแล้ว,  I-FoodNeu
ดีที่มีเพื่อนไปด้วยไปกินอีกโต๊ะแทน,  I-FoodNeu
เป็นทริปที่มีแต่ความลำบาก,  O
สกปรก,  B-CleanNeg
ส้วมกดไม่ลง,  I-CleanNeg
สกปรกสุดๆๆๆๆ,  I-CleanNeg
เหมือนไม่เคยล้างส้วมเลย,  I-CleanNeg
ห้องไม่สะอาดฝุ่น,  B-CleanNeg
พื้นเขรอะ,  I-CleanNeg
เจอแมลงสาบในห้องถึง,  I-CleanNeg
8,  I-CleanNeg
ตัว,  I-CleanNeg
และในห้องอาหารก็เจอเข่นกัน,  I-CleanNeg
ไม่ค่อยคุ้มค่ากับเงินที่จ่ายไปค่ะ,  B-ValueNeg
โรงแรมไม่มีการปรับปรุง,  I-ValueNeg
ห้องพักไม่ค่อยสะอาดค่ะ,  B-CleanNeg
ตอนเข้าพัก,  B-FacilitiesNeg
เสื้อคลุมกับผ้าเช็ดตัวก็ไม่มีให้ค่ะ,  I-FacilitiesNeg
ต้องโทรตามให้เอาขึ้นมาให้,  I-FacilitiesNeg
เจ้าหน้าที่น้อย,  B-ServiceNeg
รับแขกไม่ทัน,  I-ServiceNeg
แย่สุดคือ,  I-ServiceNeg
ลืมของที่ห้อง,  I-ServiceNeg
ก็ไม่ติดตามให้,  I-ServiceNeg
เข้าใจที่แขกเข้ามาเยอะแต่เรื่องไม่ติดตามของคืนให้,  I-ServiceNeg
ถือว่ารับไม่ได้,  I-ServiceNeg
ไม่แนำนำค่ะ,  B-RecommendNeg
ไม่ค่อยสะอาด,  I-RecommendNeg
ห้องมีกลิ่นเหม็น,  B-RoomNeg
อาหารเช้าไม่เพียงพอกับลูกค้า,  B-FoodNeg
ให้รอนานมาก,  I-FoodNeg
พนักงานห้องอาหารพูดจาไม่โอเค,  B-ServiceNeg
ไม่น่ารักเลย,  I-ServiceNeg
พนักงานน้อยไม่เหมาะกับการจะเป็นโรงแรม,  B-ServiceNeg
ล็อบปี้ห่วยสวยซะป่าวแอร์ก็ไม่เปิด,  I-ServiceNeg
ห้องที่จองอุปกรณ์ในห้องก็ไม่มีอย่างที่ระบุไว้ในรูป,  O
ผ้าเช็ดตัวให้เท้าผ้าเช็ดผม,  B-FacilitiesNeg
พรมเช็ดเท้าไม่มี,  I-FacilitiesNeg
ห้องไม่สะอาด,  B-CleanNeg
แปรงสีฟันยาสีฟันไม่มี,  B-FacilitiesNeg
แนะนำให้อ่านรีวิวก่อนมาพัก,  O
ไม่มาซ้ำแน่นอน,  O
พนักงานบริการไม่ดี,  B-ServiceNeg
ห้องพักให้อุปกรณ์อาบน้ำ,  B-FacilitiesNeu
ชุดเดียว,  I-FacilitiesNeu
ฝุ่นเยอะ,  O
แต่ห้องพักเป็นสัดส่วนดี,  O
วันหยุดยาวอย่ามาเด็ดขาด,  B-RecommendNeu
เพราะพนักงานมีน้อย,  I-RecommendNeu
แต่ถ้าวันธรรมดาพอได้,  I-RecommendNeu
สระว่ายน้ำดี,  B-GoodView
วิวสวย,  I-GoodView
แต่การบริการแย่,  B-ServiceNeg
อาหารแย่มาก,  B-FoodNeg
เช้าวันที่1ท่อแตกน้ำไม่ไหล,  B-FacilitiesNeg
ทีวีดูไม่ได้รวมๆห่วยแตกสุดๆเสียดายตังค์,  I-FacilitiesNeg
ยังไม่ค่อยคุ้มค่ากับเงินที่จ่าย,  B-ValueNeg
ต้องขนกระเป๋าเองจากลานจอดรถ,  B-ServiceNeu
ไม่มีพนักงานบริการ,  I-ServiceNeu
รูปไม่ตรงปกค่ะ,  B-RecommendNeu
อาหารน้อย,  B-FoodNeg
พนง,  B-ServiceNeg
น้อย,  I-ServiceNeg
บริการช้า,  I-ServiceNeg
ไม่แนะนำ,  B-RecommendNeg
หยุดยาวห้ามมาเด็ดขาด,  B-RecommendNeu
อาหารสำหรับทัวร์จีน,  B-FoodNeu
การบริการห่วยมาก,  B-ServiceNeg
โรงแรมใหม่แท้ๆ,  B-CleanNeg
แต่ใต้เตียงฝุ่นเยอะมาก,  I-CleanNeg
สระว่ายน้ำ,  B-SafetyNeg
อันตรายมากสำหรับเด็ก,  I-SafetyNeg
เพราะอยู่บนชั้น,  I-SafetyNeg
ขอบกั้นเสมอกับสระว่ายน้ำ,  I-SafetyNeg
แถมลมแรง,  I-SafetyNeg
ถ้าเด็กเล่นผลักกันจะเกิดอันตรายได้,  I-SafetyNeg
โรงแรมใหม่,  O
แต่ไม่มีอะไรบริการเกี่ยวกับเด็กเลย,  O
เก้าอี้กินข้าวเด็กก็ไม่มี,  O
ห้องเล็ก,  B-CleanNeg
และไม่ค่อยสะอาด,  I-CleanNeg
ถือว่าราคาแพง,  B-PriceNeg
เมื่อเทียบกับห้องที่พัก,  I-PriceNeg
แต่ชอบอาหารเช้า,  B-VariousPos
อร่อยดี,  I-VariousPos
แล้วมีให้เลือกเยอะ,  I-VariousPos
เบอรเกอร์รี่อร่อยมาก,  B-FoodPos
ห้องพักไม่สะอาด,  B-CleanNeg
อาหารเช้าหมดก็ไม่มีเติม,  B-FoodNeg
บุ้คเตียงใหญ่ก็เอาสองเตียงมาประกบให้,  B-RoomNeu
โรงแรมใหม่,  O
แต่ดูเหมือนบริหารจัดการได้แย่มาก,  O
ทุกอย่างดูขาดความเป็นมืออาชีพ,  O
โรงแรมเน้นการให้บริการกลุ่มทัวร์มากกว่าลูกค้าทั่วไป,  O
อาหารเช้าเหมือนแย่งกันรับของในงานเทกระจาด,  B-FoodNeg
ไม่เอาอีกแล้วสำหรับที่นี่,  O
การบริการแย่,  B-ServiceNeg
อาหารเช้าแทบไม่พอกิน,  B-FoodNeg
โต๊ะกินข้าวพนกงานแทบจะไม่มาดูแล,  B-ServiceNeg
คงไม่ไปพักอีกค่ะ,  B-ImpressedNeg
ใครที่ลังเลเพิ่มเงินอีกนิดแล้วไปที่อื่นดีกว่า,  B-RecommendNeg
สกปรก,  I-RecommendNeg
ลิฟไม่มีแอร์,  I-RecommendNeg
ระบบปรับอากาศ,  I-RecommendNeg
อยู่ห้องชั้น,  I-RecommendNeg
26,  I-RecommendNeg
wifiใช้ไม่ได้,  I-RecommendNeg
แจ้งตั้งแต่ตอนเข้าบอกจะให้ช่างมาดู,  O
จนวันเช็คเอาท์ก็ยังใช้ไม่ได้,  O
แย่มาก,  O
อาหารเช้าไม่พอต่อคนที่เข้าพัก,  B-FoodNeg
พนักงานเก็บโต๊ะไม่มี,  B-ServiceNeg
ทัวร์จีนลง,  O
สกปรก,  O
วุ่นวายมาก,  O
ความอำนวยความสะดวกแย่,  B-FacilitiesNeg
การบริการแย่มาก,  B-ServiceNeg
พนักงานน้อย,  I-ServiceNeg
อาหารเช้าห่วยแตกสุดๆ,  B-FoodNeg
มีให้ทานเป็นรอบ,  I-FoodNeg
ซึ่งเราได้รอบ,  I-FoodNeg
10.00,  I-FoodNeg
เหลือแต่เศษๆอาหารไม่มีการเติม,  I-FoodNeg
จาน,  I-FoodNeg
ช้อน,  I-FoodNeg
ชาม,  I-FoodNeg
หมด,  I-FoodNeg
ขนมปังไม่มีเหลือ,  I-FoodNeg
แย่มาก,  I-FoodNeg
เสียดายเงิน,  I-FoodNeg
เสียความรุ้สึกสุดๆ,  I-FoodNeg
จากครั้ที่ไปประทับใจสุดๆเลยไปครั้งที่สองและจะเป็นครั้งสุดท้ายจริงๆรูปที่ลงกับห้องจริงต่างกันมากใครจะพักที่นี่คิดให้ดีๆนะคะ,  B-RecommendNeg
แอร์ไม่เย็น,  B-FacilitiesNeg
อาหารเช้าไม่ประทับใจ,  B-FoodNeg
บริหารโครตห่วย,  O
การจัดการโครตแย่,  O
รอเช็คอินนานมาก,  O
1-2,  O
ชม,  O
ที่จอดรถแทบไม่มี,  O
อาหารไม่พอ,  B-FoodNeg
ไม่มีอะไรที่ดีเลย,  O
ไม่มีคนช่วยยกของ,  O
เช็คอินต่อคนนานมาก,  O
ห้องไม่ค่อยสะอาด,  B-CleanNeg
ห้องของไม่ครบตามรูป,  B-FacilitiesNeg
ต้องเปลี่ยนห้อง,  I-FacilitiesNeg
พอเปลี่ยนห้องของอีกอันก้ไม่มี,  I-FacilitiesNeg
อาหารเช้าแย่มาก,  B-FoodNeg
เติมไม่ทันคน,  I-FoodNeg
โต๊ะไม่เก็บ,  I-FoodNeg
ผจก,  B-ServiceNeg
ติดต่อไม่ได้,  I-ServiceNeg
คนบริการน้อยมาก,  I-ServiceNeg
อยู่ติดถนนที่พักห้องสวยเห็นวิวทะเลห้องพักสะอาดสระว่ายน้ำวิวเห็นทะเล,  B-GoodView
สะอาดสะดวกสบาย,  B-ConveniencePos
อยู่ติดถนนที่พักห้องสวยเห็นวิวทะเลห้องพักสะอาดสระว่ายน้ำวิวเห็นทะเล,  B-GoodView
คุ้มค่าคุ้มราคา,  B-ValuePos
สะอาดจอดรถสะดวกอาหารเช้าดีมากห้องสะอาดดีมาก,  B-CleanPos
สวย,  O
บรรยากาศดี,  B-GoodView
สิ่งอำนวยความสะดวกครบ,  B-FacilitiesPos
ที่พักวิวสวยห้องสะอาดสระว่ายน้ำวิวสวยมากอาหารเช้าก็โอเคไม่เยอะมากแต่อร่อย,  B-GoodView
วิวสวยมากบริการดีสิ่งอำนวยความสะดวกครบคุ้มค่าค่ะ,  B-GoodView
ห้องดี,  B-RoomPos
สะดวกในการเดินทาง,  O
สะดวกใกล้สนามบินดอนเมือง,  B-LocationPos
ห้องดี,  B-RoomPos
สะดวกในการเดินทาง,  B-LocationPos
เดินทางสะดวก,  B-LocationPos
ราคาไม่แรง,  B-PriceNeu
ที่พักใกล้,  B-LocationPos
สะอาด,  B-CleanPos
ปลอดภัยมาก,  B-SafetyPos
พนักงานบริการดีและรวดเร็วค่ะ,  B-ServicePos
ห้องสะอาด,  B-CleanPos
ใกล้สนามบิน,  B-LocationPos
เชคอิน,  O
เอาท์สะดวก,  O
ประทับใจ,  B-ImpressedPos
ทุกตรงเลยจริงๆ,  I-ImpressedPos
สะดวกสบาย,  B-ConveniencePos
เดินจากสนามบินดอนเมือง,  O
พนักงานเป็นมิตร,  B-ServicePos
ห้องพักสะอาด,  B-CleanPos
สะดวก,  B-ConveniencePos
สะอาด,  B-CleanPos
คุ้มราคา,  B-ValuePos
แนะนำ,  B-RecommendPos
เลยคะ,  I-RecommendPos
สะดวกในการเดินทางไปสนามบินดอนเมือง,  B-LocationPos
โรงแรมสะดวกสบายทุกอย่าง,  B-ConveniencePos
ที่สำคัญคือสามารถเดินเข้าสนามบินดอนเมืองได้เลย,  O
การบริการของพนักงานดีมาก,  B-ServicePos
สะดวก,  B-LocationPos
เดินถึงสนามบินเลย,  I-LocationPos
ทำเลสะดวกแค่เดินออกจากสนามบินมาแค่,  B-LocationPos
5,  I-LocationPos
นาทีก็ถึง,  I-LocationPos
ร,  I-LocationPos
ร,  I-LocationPos
แล้ว,  I-LocationPos
สะดวก,  B-ConveniencePos
สบาย,  I-ConveniencePos
เตียงนอนสบายมาก,  B-ConveniencePos
บริการดีเยี่ยม,  B-ServicePos
อุปกรณ์ครบ,  B-FacilitiesPos
ใครต้องการเดินทาง,  O
มาพักที่นี่สะดวกสุดๆ,  O
เข้าสนามบินฃ่ายมากๆ,  O
สะดวกสบายในการเดินทางต่อเครื่อง,  B-ConveniencePos
เริ่ด,  B-ImpressedNeu
ไม่น่ากลัว,  I-ImpressedNeu
ชอบมากครั้งหน้ามาใหม่,  I-ImpressedNeu
ที่พักดี,  B-ServicePos
บริการดี,  I-ServicePos
สดวก,  B-ConveniencePos
สบาย,  I-ConveniencePos
เล็กไปนิดสำหรับครอบครัวที่ไปกันเป็นกลุ่ม,  O
แต่โดยรวมแล้วดีค่ะ,  O
ที่พักติดทะเลเลย,  B-LocationPos
เดินนิดเดียว,  I-LocationPos
ที่พักสะอาด,  B-CleanPos
สะดวก,  O
มีที่จอดรถ,  O
ราคาเบาๆ,  B-PricePos
ใกล้ทะเล,  B-LocationPos
เดินทางสะดวก,  I-LocationPos
ที่พักสะอาด,  B-CleanPos
สะดวก,  B-SafetyPos
ปลอดภัย,  I-SafetyPos
เป็นทีพักประจำไปแล้ว,  I-SafetyPos
น้ำแรงมาก,  B-FacilitiesPos
อาบแล้วชื่นใจ,  I-FacilitiesPos
โรงแรมตกแต่งน่ารัก,  I-FacilitiesPos
ดีมากๆๆๆๆๆ,  B-LocationPos
ติดชายหาด,  I-LocationPos
สะอาดราคาถูกตรงปก,  B-PricePos
ใหม่,  O
